DateOfIssuance,PointofOrigin,CountryCodeOfIssue,CouponNumber] ,CurrentCouponStatus,BookingClass,SoldBookingClass,SoldOperatingCabinClass,TripOD,OnlineOD,Sector,DepartureDate,DaysBeforeMonthEnd,OperatingCarrierCode,OperatingFlightNumber,DepartureDateTime,ArrivalDateTime,OperatingCabinClass,TripOD_DepartureDate,TripOD_Path,TripOD_Coupons,TripOD_FlightSequence,TripOD_CouponStatus,TripOD_OperatingCabinClass,TripOD_BookingClass,OnlineOD_DepartureDate,OnlineOD_Path,OnlineOD_Coupons,OnlineOD_FlightSequence,OnlineOD_CouponStatus,OnlineOD_OperatingCabinClass,OnlineOD_BookingClass,is_nonstop,PaxCount,NetRevenue,NetFare,Group/Individual,Age,Gender,Unique Identifier,Channel
3/30/25,PH,PH,16836,Ticketed,U,U,Economy,MNLGUM,MNLGUM,MNLGUM,7/22/25,2,PR,PR110,7/22/25 05:00:00,08:00:00,Economy/U,7/22/25 05:00:00,MNLGUM,16836,PR110,Ticketed,Economy/U,U,7/22/25 05:00:00,MNLGUM,16836,PR110,Ticketed,Economy/U,U,1,1,435$,416$,Group,7,Male,221,GDS
1/19/26,PH,PH,16854,Flown,H,H,Economy,MNLNRT,MNLNRT,MNLNRT,5/10/26,4,PR,PR428,5/10/26 05:45:00,07:45:00,Economy/H,5/10/26 05:45:00,MNLNRT,16854,PR428,Flown,Economy/H,H,5/10/26 05:45:00,MNLNRT,16854,PR428,Flown,Economy/H,H,1,1,373$,349$,Individual,44,Female,222,Website
7/31/25,PH,PH,16853,Flown,V,V,Economy,MNLPHX,MNLLAX,MNLLAX,8/19/25,9,PR,PR102,8/19/25 01:30:00,13:00:00,Economy/V,8/19/25 01:30:00,MNLLAXPHX,16853,PR102-AA1504,Flown,Economy/V,V,8/19/25 01:30:00,MNLLAX,16853,PR102,Flown,Economy/V,V,1,1,795$,757$,Individual,64,Female,223,Website
1/1/27,PH,PH,17855,Ticketed,J,J,Business,MNLFUK,MNLHND,MNLHND,2/10/27,9,PR,PR422,2/10/27 04:15:00,07:30:00,Business/J,2/10/27 04:15:00,MNLHNDFUK,17855,PR422-NH243,Ticketed,Business/J,J,2/10/27 04:15:00,MNLHND,17855,PR422,Ticketed,Business/J,J,1,1,961$,909$,Individual,29,Female,224,Mobile App
12/6/26,PH,PH,17807,Ticketed,U,U,Economy,MNLPEN,MNLKUL,MNLKUL,3/21/27,30,PR,PR525,3/21/27 13:00:00,16:00:00,Economy/U,3/21/27 13:00:00,MNLKULPEN,17807,PR525-MH1140,Ticketed,Economy/U,U,3/21/27 13:00:00,MNLKUL,17807,PR525,Ticketed,Economy/U,U,1,1,412$,365$,Individual,39,Female,225,OTA
9/24/24,PH,PH,17273,Ticketed,U,U,Economy,MNLYUL,MNLYVR,MNLYVR,2/3/25,9,PR,PR116,2/3/25 22:00:00,2/4/25 12:00:00,Economy/U,2/3/25 22:00:00,MNLYVRYUL,17273,PR116-WS542,Ticketed,Economy/U,U,2/3/25 22:00:00,MNLYVR,17273,PR116,Ticketed,Economy/U,U,1,1,728$,694$,Group,54,Male,226,OTA
7/28/27,PH,PH,17670,Ticketed,M,M,Economy,MNLICN,MNLICN,MNLICN,10/27/27,4,PR,PR468,10/27/27 13:45:00,18:15:00,Economy/M,10/27/27 13:45:00,MNLICN,17670,PR468,Ticketed,Economy/M,M,10/27/27 13:45:00,MNLICN,17670,PR468,Ticketed,Economy/M,M,1,1,298$,270$,Group,40,Male,227,Website
12/7/25,PH,PH,16683,Flown,U,U,Economy,MNLFLL,MNLLAX,MNLLAX,2/7/26,10,PR,PR102,2/7/26 08:30:00,19:30:00,Economy/U,2/7/26 08:30:00,MNLLAXFLL,16683,PR102-B6278,Flown,Economy/U,U,2/7/26 08:30:00,MNLLAX,16683,PR102,Flown,Economy/U,U,1,1,1298$,1156$,Individual,33,Female,228,Ticket Office
7/20/26,PH,PH,17759,Ticketed,B,B,Economy,MNLPEN,MNLKUL,MNLKUL,7/29/26,31,PR,PR525,7/29/26 22:45:00,7/30/26 01:15:00,Economy/B,7/29/26 22:45:00,MNLKULPEN,17759,PR525-MH1140,Ticketed,Economy/B,B,7/29/26 22:45:00,MNLKUL,17759,PR525,Ticketed,Economy/B,B,1,1,277$,251$,Group,54,Female,229,OTA
11/25/25,PH,PH,16620,Flown,K,K,Economy,MNLYVR,MNLYVR,MNLYVR,3/30/26,7,PR,PR116,3/30/26 22:45:00,3/31/26 13:15:00,Economy/K,3/30/26 22:45:00,MNLYVR,16620,PR116,Flown,Economy/K,K,3/30/26 22:45:00,MNLYVR,16620,PR116,Flown,Economy/K,K,1,1,1239$,1174$,Individual,38,Female,230,Mobile App
12/29/26,PH,PH,17343,Ticketed,H,H,Economy,MNLLAX,MNLLAX,MNLLAX,1/18/27,29,PR,PR102,1/18/27 08:45:00,1/19/27 00:45:00,Economy/H,1/18/27 08:45:00,MNLLAX,17343,PR102,Ticketed,Economy/H,H,1/18/27 08:45:00,MNLLAX,17343,PR102,Ticketed,Economy/H,H,1,1,1029$,986$,Individual,13,Male,231,OTA
7/30/25,US,US,16817,Flown,B,B,Economy,SFOMNL,SFOMNL,SFOMNL,10/6/25,17,PR,PR105,10/6/25 22:00:00,10/7/25 12:45:00,Economy/B,10/6/25 22:00:00,SFOMNL,16817,PR105,Flown,Economy/B,B,10/6/25 22:00:00,SFOMNL,16817,PR105,Flown,Economy/B,B,1,1,1066$,1018$,Individual,72,Male,232,Call Center
10/4/25,PH,PH,16658,Ticketed,O,O,Economy,MNLDCA,MNLJFK,MNLJFK,1/1/26,5,PR,PR126,1/1/26 08:00:00,23:30:00,Economy/O,1/1/26 08:00:00,MNLJKFDCA,16658,PR126-AA2101,Ticketed,Economy/O,O,1/1/26 08:00:00,MNLJFK,16658,PR126,Ticketed,Economy/O,O,1,1,757$,695$,Group,24,Male,233,Website
8/20/27,PH,PH,17363,Ticketed,H,H,Economy,DVOLAX,DVOLAX,MNLLAX,8/23/27,24,PR,PR102,8/23/27 04:45:00,19:30:00,Economy/H,8/23/27 04:45:00,DVOMNLLAX,17363,2P2814-PR102,Ticketed,Economy/H,H,8/23/27 04:45:00,DVOMNLLAX,17363,2P2814-PR102,Ticketed,Economy/H,H,0,1,1562$,1398$,Group,29,Female,234,Website
4/4/27,PH,PH,17512,Ticketed,K,K,Economy,MNLUSM,MNLBKK,MNLBKK,8/6/27,7,PR,PR730,8/6/27 04:30:00,07:15:00,Economy/K,8/6/27 04:30:00,MNLBKKUSM,17512,PR730-PG145,Ticketed,Economy/K,K,8/6/27 04:30:00,MNLBKK,17512,PR730,Ticketed,Economy/K,K,1,1,302$,259$,Individual,38,Female,235,Website
3/12/25,PH,PH,17211,Flown,Y,Y,Economy,DVODFW,DVOLAX,MNLLAX,3/13/25,11,PR,PR102,3/13/25 15:45:00,3/14/25 03:15:00,Economy/Y,3/13/25 15:45:00,DVOMNLLAXDFW,17211,2P2814-PR102-AA2341,Flown,Economy/Y,Y,3/13/25 15:45:00,DVOMNLLAX,17211,2P2814-PR102,Flown,Economy/Y,Y,0,1,1110$,1060$,Group,39,Female,236,GDS
5/28/26,PH,PH,17182,Ticketed,U,U,Economy,ILONRT,ILONRT,MNLNRT,6/20/26,22,PR,PR428,6/20/26 08:45:00,12:45:00,Economy/U,6/20/26 08:45:00,ILOMNLNRT,17182,2P2836-PR428,Ticketed,Economy/U,U,6/20/26 08:45:00,ILOMNLNRT,17182,2P2836-PR428,Ticketed,Economy/U,U,0,1,515$,476$,Individual,55,Female,237,Website
8/1/27,PH,PH,18020,Ticketed,T,T,Economy,DVOLAX,DVOLAX,DVOMNL,9/20/27,9,2P,2P2814,9/20/27 08:30:00,19:45:00,Economy/T,9/20/27 08:30:00,DVOMNLLAX,18020,2P2814-PR102,Ticketed,Economy/T,T,9/20/27 08:30:00,DVOMNLLAX,18020,2P2814-PR102,Ticketed,Economy/T,T,0,1,1121$,1061$,Group,65,Male,238,OTA
9/29/26,PH,PH,17554,Ticketed,H,H,Economy,MNLHNL,MNLHNL,MNLHNL,11/22/26,1,PR,PR100,11/22/26 04:15:00,13:30:00,Economy/H,11/22/26 04:15:00,MNLHNL,17554,PR100,Ticketed,Economy/H,H,11/22/26 04:15:00,MNLHNL,17554,PR100,Ticketed,Economy/H,H,1,1,809$,734$,Group,33,Male,239,Website
1/5/26,PH,PH,16901,Flown,C,C,Business,MNLDCA,MNLJFK,MNLJFK,6/28/26,10,PR,PR126,6/28/26 01:15:00,13:45:00,Business/C,6/28/26 01:15:00,MNLJKFDCA,16901,PR126-AA2101,Flown,Business/C,C,6/28/26 01:15:00,MNLJFK,16901,PR126,Flown,Business/C,C,1,1,3508$,3328$,Group,16,Female,240,Mobile App
8/13/24,PH,PH,16665,Flown,H,H,Economy,MNLORD,MNLSFO,MNLSFO,2/3/25,25,PR,PR104,2/3/25 18:30:00,2/4/25 08:15:00,Economy/H,2/3/25 18:30:00,MNLSFOORD,16665,PR104-AA1255,Flown,Economy/H,H,2/3/25 18:30:00,MNLSFO,16665,PR104,Flown,Economy/H,H,1,1,815$,728$,Individual,70,Female,241,Mobile App
8/8/25,PH,PH,16734,Flown,M,M,Economy,DVOLAX,DVOLAX,DVOMNL,12/12/25,6,2P,2P2814,12/12/25 18:45:00,12/13/25 07:15:00,Economy/M,12/12/25 18:45:00,DVOMNLLAX,16734,2P2814-PR102,Flown,Economy/M,M,12/12/25 18:45:00,DVOMNLLAX,16734,2P2814-PR102,Flown,Economy/M,M,0,1,1340$,1209$,Individual,43,Male,242,GDS
10/5/25,PH,PH,16497,Flown,O,O,Economy,CEBICN,CEBICN,CEBICN,12/5/25,24,PR,PR484,12/5/25 10:45:00,13:00:00,Economy/O,12/5/25 10:45:00,CEBICN,16497,PR484,Flown,Economy/O,O,12/5/25 10:45:00,CEBICN,16497,PR484,Flown,Economy/O,O,1,1,528$,472$,Individual,31,Female,243,Website
7/5/27,PH,PH,18082,Ticketed,X,X,Economy,MNLTPE,MNLTPE,MNLTPE,8/1/27,19,PR,PR890,8/1/27 08:00:00,11:00:00,Economy/X,8/1/27 08:00:00,MNLTPE,18082,PR890,Ticketed,Economy/X,X,8/1/27 08:00:00,MNLTPE,18082,PR890,Ticketed,Economy/X,X,1,1,241$,209$,Group,44,Male,244,OTA
10/19/24,KR,KR,16721,Ticketed,E,E,Economy,ICNMNL,ICNMNL,ICNMNL,1/4/25,27,PR,PR467,1/4/25 18:45:00,23:30:00,Economy/E,1/4/25 18:45:00,ICNMNL,16721,PR467,Ticketed,Economy/E,E,1/4/25 18:45:00,ICNMNL,16721,PR467,Ticketed,Economy/E,E,1,1,319$,297$,Group,45,Male,245,Website
3/27/27,PH,PH,17570,Ticketed,U,U,Economy,CEBJFK,CEBJFK,MNLJFK,9/7/27,5,PR,PR126,9/7/27 04:30:00,18:00:00,Economy/U,9/7/27 04:30:00,CEBMNLJFK,17570,2P2812-PR126,Ticketed,Economy/U,U,9/7/27 04:30:00,CEBMNLJFK,17570,2P2812-PR126,Ticketed,Economy/U,U,0,1,949$,881$,Individual,29,Male,246,Website
8/20/27,PH,PH,17365,Ticketed,H,H,Economy,DVOLAX,DVOLAX,MNLLAX,8/23/27,24,PR,PR102,8/23/27 04:45:00,19:30:00,Economy/H,8/23/27 04:45:00,DVOMNLLAX,17365,2P2814-PR102,Ticketed,Economy/H,H,8/23/27 04:45:00,DVOMNLLAX,17365,2P2814-PR102,Ticketed,Economy/H,H,0,1,1562$,1398$,Group,50,Male,247,Website
8/14/26,PH,PH,18093,Ticketed,Q,Q,Economy,MNLSYD,MNLSYD,MNLSYD,12/25/26,23,PR,PR211,12/25/26 15:15:00,23:15:00,Economy/Q,12/25/26 15:15:00,MNLSYD,18093,PR211,Ticketed,Economy/Q,Q,12/25/26 15:15:00,MNLSYD,18093,PR211,Ticketed,Economy/Q,Q,1,1,607$,555$,Individual,60,Female,248,OTA
3/1/26,JP,JP,16709,Flown,T,T,Economy,NRTMNL,NRTMNL,NRTMNL,5/4/26,15,PR,PR427,5/4/26 01:30:00,04:45:00,Economy/T,5/4/26 01:30:00,NRTMNL,16709,PR427,Flown,Economy/T,T,5/4/26 01:30:00,NRTMNL,16709,PR427,Flown,Economy/T,T,1,1,370$,316$,Individual,41,Male,249,Website
12/23/26,PH,PH,17481,Ticketed,B,B,Economy,DVODFW,DVOLAX,MNLLAX,2/14/27,6,PR,PR102,2/14/27 10:45:00,2/15/27 03:30:00,Economy/B,2/14/27 10:45:00,DVOMNLLAXDFW,17481,2P2814-PR102-AA2341,Ticketed,Economy/B,B,2/14/27 10:45:00,DVOMNLLAX,17481,2P2814-PR102,Ticketed,Economy/B,B,0,1,1085$,967$,Group,66,Female,250,Mobile App
4/18/27,KR,KR,17349,Ticketed,O,O,Economy,ICNMNL,ICNMNL,ICNMNL,5/3/27,9,PR,PR467,5/3/27 04:45:00,07:30:00,Economy/O,5/3/27 04:45:00,ICNMNL,17349,PR467,Ticketed,Economy/O,O,5/3/27 04:45:00,ICNMNL,17349,PR467,Ticketed,Economy/O,O,1,1,290$,271$,Individual,41,Female,251,OTA
4/26/26,PH,PH,18066,Ticketed,M,M,Economy,CEBYYC,CEBYVR,CEBMNL,8/2/26,29,2P,2P2812,8/2/26 08:00:00,21:00:00,Economy/M,8/2/26 08:00:00,CEBMNLYVRYYC,18066,2P2812-PR116-WS124,Ticketed,Economy/M,M,8/2/26 08:00:00,CEBMNLYVR,18066,2P2812-PR116,Ticketed,Economy/M,M,0,1,1163$,988$,Individual,27,Male,252,GDS
3/23/25,PH,PH,16965,Flown,M,M,Economy,MNLDFW,MNLLAX,MNLLAX,8/29/25,15,PR,PR102,8/29/25 04:15:00,18:00:00,Economy/M,8/29/25 04:15:00,MNLLAXDFW,16965,PR102-AA2341,Flown,Economy/M,M,8/29/25 04:15:00,MNLLAX,16965,PR102,Flown,Economy/M,M,1,1,1110$,986$,Individual,34,Male,253,Website
11/22/26,CA,CA,17377,Ticketed,J,J,Business,YVRMNL,YVRMNL,YVRMNL,5/16/27,30,PR,PR117,5/16/27 20:30:00,5/17/27 13:00:00,Business/J,5/16/27 20:30:00,YVRMNL,17377,PR117,Ticketed,Business/J,J,5/16/27 20:30:00,YVRMNL,17377,PR117,Ticketed,Business/J,J,1,1,4382$,4209$,Individual,39,Male,254,Website
12/10/24,PH,PH,16623,Flown,B,B,Economy,MNLFLL,MNLLAX,MNLLAX,2/26/25,11,PR,PR102,2/26/25 08:15:00,21:45:00,Economy/B,2/26/25 08:15:00,MNLLAXFLL,16623,PR102-B6278,Flown,Economy/B,B,2/26/25 08:15:00,MNLLAX,16623,PR102,Flown,Economy/B,B,1,1,803$,772$,Individual,34,Male,255,OTA
1/9/25,PH,PH,16993,Flown,U,U,Economy,MNLMCO,MNLJFK,MNLJFK,6/8/25,19,PR,PR126,6/8/25 10:30:00,6/9/25 02:15:00,Economy/U,6/8/25 10:30:00,MNLJFKMCO,16993,PR126-B6181,Flown,Economy/U,U,6/8/25 10:30:00,MNLJFK,16993,PR126,Flown,Economy/U,U,1,1,1152$,1024$,Individual,47,Female,256,GDS
12/13/27,PH,PH,17837,Ticketed,L,L,Economy,ILONRT,ILONRT,ILOMNL,12/18/27,15,2P,2P2836,12/18/27 18:45:00,21:45:00,Economy/L,12/18/27 18:45:00,ILOMNLNRT,17837,2P2836-PR428,Ticketed,Economy/L,L,12/18/27 18:45:00,ILOMNLNRT,17837,2P2836-PR428,Ticketed,Economy/L,L,0,1,210$,192$,Group,21,Female,257,Website
6/18/25,PH,PH,17272,Flown,W,W,Premium Economy,MNLSIN,MNLSIN,MNLSIN,6/26/25,23,PR,PR507,6/26/25 04:15:00,06:30:00,Premium Economy/W,6/26/25 04:15:00,MNLSIN,17272,PR507,Flown,Premium Economy/W,W,6/26/25 04:15:00,MNLSIN,17272,PR507,Flown,Premium Economy/W,W,1,1,558$,516$,Individual,42,Male,258,Website
6/7/27,PH,PH,17371,Ticketed,L,L,Economy,MNLHKG,MNLHKG,MNLHKG,10/13/27,11,PR,PR300,10/13/27 04:15:00,08:45:00,Economy/L,10/13/27 04:15:00,MNLHKG,17371,PR300,Ticketed,Economy/L,L,10/13/27 04:15:00,MNLHKG,17371,PR300,Ticketed,Economy/L,L,1,1,264$,250$,Individual,34,Female,259,Website
4/15/27,PH,PH,18071,Ticketed,K,K,Economy,DVOLAX,DVOLAX,MNLLAX,9/23/27,14,PR,PR102,9/23/27 10:15:00,9/24/27 02:45:00,Economy/K,9/23/27 10:15:00,DVOMNLLAX,18071,2P2814-PR102,Ticketed,Economy/K,K,9/23/27 10:15:00,DVOMNLLAX,18071,2P2814-PR102,Ticketed,Economy/K,K,0,1,1241$,1075$,Group,28,Male,260,Website
8/20/27,PH,PH,17363,Ticketed,H,H,Economy,DVOLAX,DVOLAX,MNLLAX,8/23/27,24,PR,PR102,8/23/27 04:45:00,19:30:00,Economy/H,8/23/27 04:45:00,DVOMNLLAX,17363,2P2814-PR102,Ticketed,Economy/H,H,8/23/27 04:45:00,DVOMNLLAX,17363,2P2814-PR102,Ticketed,Economy/H,H,0,1,1562$,1398$,Group,53,Female,261,Website
9/12/26,PH,PH,17889,Ticketed,J,J,Business,MNLSYD,MNLSYD,MNLSYD,12/7/26,26,PR,PR211,12/7/26 01:00:00,08:15:00,Business/J,12/7/26 01:00:00,MNLSYD,17889,PR211,Ticketed,Business/J,J,12/7/26 01:00:00,MNLSYD,17889,PR211,Ticketed,Business/J,J,1,1,2769$,2508$,Individual,68,Male,262,Website
9/19/25,PH,PH,16833,Flown,O,O,Economy,MNLLAS,MNLLAX,MNLLAX,11/3/25,4,PR,PR102,11/3/25 01:45:00,16:00:00,Economy/O,11/3/25 01:45:00,MNLLAXLAS,16833,PR102-AA412,Flown,Economy/O,O,11/3/25 01:45:00,MNLLAX,16833,PR102,Flown,Economy/O,O,1,1,1183$,1123$,Group,41,Male,263,OTA
11/8/24,PH,PH,17018,Flown,N,N,Premium Economy,CEBNRT,CEBNRT,CEBNRT,2/25/25,13,PR,PR434,2/25/25 18:00:00,22:30:00,Premium Economy/N,2/25/25 18:00:00,CEBNRT,17018,PR434,Flown,Premium Economy/N,N,2/25/25 18:00:00,CEBNRT,17018,PR434,Flown,Premium Economy/N,N,1,1,862$,751$,Individual,44,Male,264,Mobile App
1/4/26,PH,PH,16535,Flown,K,K,Economy,MNLTPE,MNLTPE,MNLTPE,6/12/26,8,PR,PR890,6/12/26 13:00:00,15:30:00,Economy/K,6/12/26 13:00:00,MNLTPE,16535,PR890,Flown,Economy/K,K,6/12/26 13:00:00,MNLTPE,16535,PR890,Flown,Economy/K,K,1,1,298$,281$,Individual,50,Female,265,Website
12/9/24,PH,PH,17122,Flown,U,U,Economy,MNLHKG,MNLHKG,MNLHKG,4/4/25,24,PR,PR300,4/4/25 13:00:00,17:45:00,Economy/U,4/4/25 13:00:00,MNLHKG,17122,PR300,Flown,Economy/U,U,4/4/25 13:00:00,MNLHKG,17122,PR300,Flown,Economy/U,U,1,1,496$,441$,Individual,43,Female,266,Website
9/11/25,PH,PH,16617,Ticketed,B,B,Economy,MNLDFW,MNLLAX,MNLLAX,12/29/25,12,PR,PR102,12/29/25 01:30:00,17:00:00,Economy/B,12/29/25 01:30:00,MNLLAXDFW,16617,PR102-AA2341,Ticketed,Economy/B,B,12/29/25 01:30:00,MNLLAX,16617,PR102,Ticketed,Economy/B,B,1,1,847$,756$,Individual,16,Female,267,Website
9/18/24,PH,PH,16634,Flown,Q,Q,Economy,MNLCTS,MNLHND,MNLHND,2/12/25,17,PR,PR422,2/12/25 08:30:00,13:15:00,Economy/Q,2/12/25 08:30:00,MNLHNDCTS,16634,PR422-NH51,Flown,Economy/Q,Q,2/12/25 08:30:00,MNLHND,16634,PR422,Flown,Economy/Q,Q,1,1,301$,257$,Group,66,Male,268,Mobile App
1/26/27,US,PH,17819,Ticketed,O,O,Economy,SFOMNL,SFOMNL,SFOMNL,2/2/27,24,PR,PR105,2/2/27 13:15:00,2/3/27 03:00:00,Economy/O,2/2/27 13:15:00,SFOMNL,17819,PR105,Ticketed,Economy/O,O,2/2/27 13:15:00,SFOMNL,17819,PR105,Ticketed,Economy/O,O,1,1,1229$,1105$,Group,59,Female,269,Ticket Office
1/6/27,PH,PH,17593,Ticketed,O,O,Economy,MNLKOA,MNLHNL,MNLHNL,1/20/27,9,PR,PR100,1/20/27 13:15:00,21:00:00,Economy/O,1/20/27 13:15:00,MNLHNLKOA,17593,PR100-HA148,Ticketed,Economy/O,O,1/20/27 13:15:00,MNLHNL,17593,PR100,Ticketed,Economy/O,O,1,1,1029$,915$,Individual,52,Female,270,Mobile App
10/22/25,PH,PH,17170,Flown,Y,Y,Economy,MNLLAX,MNLLAX,MNLLAX,1/3/26,21,PR,PR102,1/3/26 01:15:00,16:00:00,Economy/Y,1/3/26 01:15:00,MNLLAX,17170,PR102,Flown,Economy/Y,Y,1/3/26 01:15:00,MNLLAX,17170,PR102,Flown,Economy/Y,Y,1,1,1111$,975$,Individual,21,Female,271,Mobile App
11/17/24,PH,PH,16491,Flown,E,E,Economy,MNLFLL,MNLLAX,MNLLAX,3/22/25,31,PR,PR102,3/22/25 04:15:00,17:00:00,Economy/E,3/22/25 04:15:00,MNLLAXFLL,16491,PR102-B6278,Flown,Economy/E,E,3/22/25 04:15:00,MNLLAX,16491,PR102,Flown,Economy/E,E,1,1,1288$,1212$,Individual,30,Female,272,Mobile App
1/12/27,US,US,17586,Ticketed,K,K,Economy,LAXMNL,LAXMNL,LAXMNL,5/2/27,8,PR,PR103,5/2/27 08:15:00,5/3/27 00:30:00,Economy/K,5/2/27 08:15:00,LAXMNL,17586,PR103,Ticketed,Economy/K,K,5/2/27 08:15:00,LAXMNL,17586,PR103,Ticketed,Economy/K,K,1,1,1075$,937$,Individual,26,Male,273,Call Center
10/13/26,US,US,17895,Ticketed,H,H,Economy,SFOMNL,SFOMNL,SFOMNL,1/16/27,20,PR,PR105,1/16/27 13:30:00,1/17/27 04:30:00,Economy/H,1/16/27 13:30:00,SFOMNL,17895,PR105,Ticketed,Economy/H,H,1/16/27 13:30:00,SFOMNL,17895,PR105,Ticketed,Economy/H,H,1,1,1446$,1263$,Individual,17,Male,274,GDS
3/4/25,PH,PH,17254,Flown,W,W,Premium Economy,CEBNRT,CEBNRT,CEBNRT,7/20/25,7,PR,PR434,7/20/25 18:00:00,22:45:00,Premium Economy/W,7/20/25 18:00:00,CEBNRT,17254,PR434,Flown,Premium Economy/W,W,7/20/25 18:00:00,CEBNRT,17254,PR434,Flown,Premium Economy/W,W,1,1,706$,651$,Group,30,Female,275,OTA
11/6/25,PH,PH,16634,Flown,K,K,Economy,MNLHKG,MNLHKG,MNLHKG,2/1/26,3,PR,PR300,2/1/26 22:00:00,2/2/26 02:30:00,Economy/K,2/1/26 22:00:00,MNLHKG,16634,PR300,Flown,Economy/K,K,2/1/26 22:00:00,MNLHKG,16634,PR300,Flown,Economy/K,K,1,1,366$,348$,Individual,40,Female,276,OTA
4/28/27,PH,PH,17397,Ticketed,N,N,Premium Economy,MNLNRT,MNLNRT,MNLNRT,5/30/27,31,PR,PR428,5/30/27 20:00:00,22:00:00,Premium Economy/N,5/30/27 20:00:00,MNLNRT,17397,PR428,Ticketed,Premium Economy/N,N,5/30/27 20:00:00,MNLNRT,17397,PR428,Ticketed,Premium Economy/N,N,1,1,769$,691$,Individual,42,Male,277,OTA
2/12/26,AU,AU,16795,Flown,W,W,Premium Economy,SYDMNL,SYDMNL,SYDMNL,6/30/26,19,PR,PR212,6/30/26 05:30:00,13:00:00,Premium Economy/W,6/30/26 05:30:00,SYDMNL,16795,PR212,Flown,Premium Economy/W,W,6/30/26 05:30:00,SYDMNL,16795,PR212,Flown,Premium Economy/W,W,1,1,1317$,1123$,Individual,45,Male,278,Mobile App
6/4/27,PH,PH,17630,Ticketed,D,D,Business,MNLSIN,MNLSIN,MNLSIN,7/10/27,8,PR,PR507,7/10/27 10:45:00,13:30:00,Business/D,7/10/27 10:45:00,MNLSIN,17630,PR507,Ticketed,Business/D,D,7/10/27 10:45:00,MNLSIN,17630,PR507,Ticketed,Business/D,D,1,1,1307$,1131$,Individual,27,Male,279,Website
7/1/27,SG,PH,17440,Ticketed,K,K,Economy,SINMNL,SINMNL,SINMNL,7/4/27,17,PR,PR508,7/4/27 20:15:00,22:30:00,Economy/K,7/4/27 20:15:00,SINMNL,17440,PR508,Ticketed,Economy/K,K,7/4/27 20:15:00,SINMNL,17440,PR508,Ticketed,Economy/K,K,1,1,540$,466$,Individual,41,Male,280,Mobile App
8/28/26,PH,PH,17586,Ticketed,O,O,Economy,MNLKOA,MNLHNL,MNLHNL,12/29/26,18,PR,PR100,12/29/26 10:00:00,18:45:00,Economy/O,12/29/26 10:00:00,MNLHNLKOA,17586,PR100-HA148,Ticketed,Economy/O,O,12/29/26 10:00:00,MNLHNL,17586,PR100,Ticketed,Economy/O,O,1,1,809$,703$,Group,16,Male,281,OTA
9/17/24,PH,PH,16582,Flown,N,N,Premium Economy,CEBORD,CEBSFO,MNLSFO,3/12/25,14,PR,PR104,3/12/25 10:15:00,3/13/25 02:15:00,Premium Economy/N,3/12/25 10:15:00,CEBMNLSFOORD,16582,2P2812-PR104-AA1255,Flown,Premium Economy/N,N,3/12/25 10:15:00,CEBMNLSFO,16582,2P2812-PR104,Flown,Premium Economy/N,N,0,1,1658$,1505$,Individual,61,Male,282,OTA
3/19/27,PH,PH,17833,Ticketed,H,H,Economy,MNLBKK,MNLBKK,MNLBKK,8/22/27,10,PR,PR730,8/22/27 10:30:00,13:30:00,Economy/H,8/22/27 10:30:00,MNLBKK,17833,PR730,Ticketed,Economy/H,H,8/22/27 10:30:00,MNLBKK,17833,PR730,Ticketed,Economy/H,H,1,1,353$,320$,Individual,37,Female,283,Website
3/14/27,PH,PH,17338,Ticketed,L,L,Economy,MNLITM,MNLHND,MNLHND,8/14/27,2,PR,PR422,8/14/27 10:00:00,12:00:00,Economy/L,8/14/27 10:00:00,MNLHNDITM,17338,PR422-NH15,Ticketed,Economy/L,L,8/14/27 10:00:00,MNLHND,17338,PR422,Ticketed,Economy/L,L,1,1,409$,350$,Group,12,Male,284,Mobile App
9/19/26,PH,PH,18042,Ticketed,H,H,Economy,MNLKOA,MNLHNL,MNLHNL,1/30/27,24,PR,PR100,1/30/27 22:45:00,1/31/27 08:30:00,Economy/H,1/30/27 22:45:00,MNLHNLKOA,18042,PR100-HA148,Ticketed,Economy/H,H,1/30/27 22:45:00,MNLHNL,18042,PR100,Ticketed,Economy/H,H,1,1,664$,583$,Individual,43,Female,285,GDS
7/18/26,PH,PH,17654,Ticketed,H,H,Economy,MNLFUK,MNLHND,MNLHND,11/27/26,22,PR,PR422,11/27/26 22:30:00,11/28/26 01:30:00,Economy/H,11/27/26 22:30:00,MNLHNDFUK,17654,PR422-NH243,Ticketed,Economy/H,H,11/27/26 22:30:00,MNLHND,17654,PR422,Ticketed,Economy/H,H,1,1,434$,391$,Group,12,Male,286,Website
12/21/25,PH,PH,17125,Flown,O,O,Economy,CEBYYC,CEBYVR,MNLYVR,5/21/26,3,PR,PR116,5/21/26 18:45:00,5/22/26 09:30:00,Economy/O,5/21/26 18:45:00,CEBMNLYVRYYC,17125,2P2812-PR116-WS124,Flown,Economy/O,O,5/21/26 18:45:00,CEBMNLYVR,17125,2P2812-PR116,Flown,Economy/O,O,0,1,704$,656$,Group,52,Male,287,Mobile App
